Wall time,Step,Value
1736581703.156867,0,0.07087637484073639
1736581703.243474,8000,0.0700279101729393
1736581703.338523,16000,0.06987427920103073
1736581703.420205,24000,0.06952722370624542
1736581703.5052009,32000,0.06952420622110367
1736581703.5901551,40000,0.0693315863609314
1736581703.67914,48000,0.0692952573299408
1736581703.768045,56000,0.06931089609861374
1736581703.8580108,64000,0.069208063185215
1736581703.948771,72000,0.06923441588878632
1736581704.0425322,80000,0.06912267208099365
1736581704.136543,88000,0.06929567456245422
1736581704.230231,96000,0.06914342939853668
1736581704.3259342,104000,0.06912516057491302
1736581704.42486,112000,0.06930318474769592
1736581704.520552,120000,0.06911705434322357
1736581704.615564,128000,0.06919191032648087
1736581704.7146611,136000,0.06921455264091492
1736581704.813022,144000,0.06897379457950592
1736581704.911677,152000,0.06897268444299698
1736581705.012129,160000,0.06922096014022827
1736581705.1102788,168000,0.06913678348064423
1736581705.213425,176000,0.0689864531159401
1736581705.315192,184000,0.06903903931379318
1736581705.417832,192000,0.06919567286968231
1736581705.520832,200000,0.06912828981876373
1736581705.622123,208000,0.06901486217975616
1736581705.725198,216000,0.06908628344535828
1736581705.827478,224000,0.06924334913492203
1736581705.930887,232000,0.06906317919492722
1736581706.0338292,240000,0.06900408118963242
1736581706.135438,248000,0.06910974532365799
1736581706.238579,256000,0.06904809176921844
1736581706.356889,264000,0.0691298246383667
1736581706.457389,272000,0.06901327520608902
1736581706.5574532,280000,0.06893142312765121
1736581706.6581252,288000,0.06914601475000381
1736581706.759043,296000,0.06908068805932999
1736581706.860734,304000,0.06912140548229218
1736581706.9613812,312000,0.06903387606143951
1736581707.0623941,320000,0.0692436620593071
1736581707.1626592,328000,0.0689932331442833
1736581707.262917,336000,0.06891801953315735
1736581707.363465,344000,0.0689796730875969
1736581707.464546,352000,0.06913450360298157
1736581707.565156,360000,0.06895703822374344
1736581707.665855,368000,0.06901521980762482
1736581707.766026,376000,0.06884407997131348
1736581707.866685,384000,0.06901216506958008
1736581707.9665332,392000,0.0686807781457901
1736581708.066141,400000,0.06883285194635391
1736581708.168096,408000,0.06915467232465744
1736581708.268916,416000,0.06888139247894287
1736581708.369781,424000,0.06904147565364838
1736581708.4707131,432000,0.06909794360399246
1736581708.571604,440000,0.06898028403520584
1736581708.671725,448000,0.06900735944509506
1736581708.772079,456000,0.06901005655527115
1736581708.8716211,464000,0.06903783231973648
1736581708.971613,472000,0.06912551820278168
1736581709.072247,480000,0.06899614632129669
1736581709.172746,488000,0.06897208839654922
1736581709.273613,496000,0.06884568184614182
1736581709.3732748,504000,0.06895468384027481
1736581709.4743192,512000,0.06881357729434967
1736581709.57517,520000,0.0688905119895935
1736581709.678426,528000,0.0689188688993454
1736581709.781325,536000,0.06891926378011703
1736581709.8827899,544000,0.0689697191119194
1736581709.9856682,552000,0.06899859756231308
1736581710.087262,560000,0.06912348419427872
1736581710.1877,568000,0.06890102475881577
1736581710.3025658,576000,0.06894078850746155
1736581710.4043672,584000,0.06900809705257416
1736581710.505465,592000,0.06886477768421173
1736581710.6056352,600000,0.06877324730157852
1736581710.707092,608000,0.06908944249153137
1736581710.807627,616000,0.0690540000796318
1736581710.909067,624000,0.06918344646692276
1736581711.009193,632000,0.06899094581604004
1736581711.10945,640000,0.06888576596975327
1736581711.210199,648000,0.06904386729001999
1736581711.31179,656000,0.06890033930540085
1736581711.412163,664000,0.0689653754234314
1736581711.512291,672000,0.06898953765630722
1736581711.613525,680000,0.06884299963712692
1736581711.7144132,688000,0.06896822899580002
1736581711.815148,696000,0.0691583901643753
1736581711.916142,704000,0.06907626986503601
1736581712.016165,712000,0.06890490651130676
1736581712.116852,720000,0.06911422312259674
1736581712.216725,728000,0.06893334537744522
1736581712.317852,736000,0.06902465969324112
1736581712.419101,744000,0.06888993084430695
1736581712.5351129,752000,0.06912229210138321
1736581712.639404,760000,0.06899525225162506
1736581712.751487,768000,0.06912592798471451
1736581712.857142,776000,0.06908409297466278
1736581712.981926,784000,0.06879327446222305
1736581713.085001,792000,0.06915904581546783
1736581713.185612,800000,0.06874581426382065
1736581713.286231,808000,0.06903274357318878
1736581713.387681,816000,0.0689920037984848
1736581713.487987,824000,0.06893766671419144
1736581713.589314,832000,0.06893239915370941
1736581713.6912398,840000,0.06885452568531036
1736581713.80305,848000,0.06881813704967499
1736581713.904545,856000,0.06907163560390472
1736581714.005068,864000,0.06896688789129257
1736581714.105782,872000,0.06905470788478851
1736581714.206723,880000,0.06899505108594894
1736581714.3074791,888000,0.06878199428319931
1736581714.409906,896000,0.06899480521678925
1736581714.511402,904000,0.0690087154507637
1736581714.611831,912000,0.06894321739673615
1736581714.714166,920000,0.0689837783575058
1736581714.815831,928000,0.06912682950496674
1736581714.917008,936000,0.06889203935861588
1736581715.0178602,944000,0.06889906525611877
1736581715.11821,952000,0.06900716572999954
1736581715.220048,960000,0.06892933696508408
1736581715.32053,968000,0.06893185526132584
1736581715.4208782,976000,0.06888660788536072
1736581715.521199,984000,0.06894072145223618
1736581715.622452,992000,0.06897982209920883
